WarehouseID,WarehouseName,City,State,Capacity,Manager
1,Warehouse_1,North Judithbury,PR,12270,Jamie Arnold
2,Warehouse_2,East Jill,MI,5860,Lisa Hensley
3,Warehouse_3,New Roberttown,PA,10390,Michele Williams
4,Warehouse_4,East Jessetown,KS,18418,Dylan Miller
5,Warehouse_5,Lake Debra,AS,10191,Brian Ramirez
6,Warehouse_6,Robinsonshire,AZ,16964,Holly Wood
7,Warehouse_7,Lisatown,VA,16284,Derek Zuniga
8,Warehouse_8,Lake Roberto,NH,10734,Lisa Jackson
9,Warehouse_9,Ericmouth,ND,11265,Carla Gray
10,Warehouse_10,North Noahstad,DE,5466,Margaret Hawkins DDS
